"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dp34","Department of Planning, Industry and Environment representing the State of New South Wales","","Records provided by Department of Planning, Industry and Environment representing the State of New South Wales, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp34","","","","6"
"dp32","South Australia, Department for Environment and Water","","Records provided by South Australia, Department for Environment and Water, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp32","","","","6"
"co274","Museums Victoria DNA Laboratory","","Records provided by Museums Victoria DNA Laboratory, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co274","","","","3"
"dr11049","Martin Butterfield Mallacoota Observations","10.15468/vv31t9","Martin Butterfield, Mallacoota Observations, 2019","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Martin Butterfield","For more information: https://collections.ala.org.au/public/show/dr11049","","","","1"
"dp52","Questagame","","Records provided by Questagame, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp52","","","","274"
"co150","Queensland Museum Mammals","","Records provided by Queensland Museum Mammals, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co150","","","","37"
"dr10631","Geelong Field Naturalists Club","10.15468/gwji3b","Records provided by Geelong Field Naturalists Club, accessed through ALA website.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr10631","","","","158"
"dr1097","Victorian Biodiversity Atlas","10.15468/khlfs3","Records provided by Victorian Biodiversity Atlas, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Copyright in the data and materials resides with the copyright owners as indicated next to the detailed records. In any reproduction, distribution or publication of the data, or in any use or adaptation of the data to create derivative works, the user must include a citation which attributes the source of the data and the date the data was published, as follows: Data Source: 'Victorian Biodiversity Atlas', © The State of Victoria, Department of Environment and Primary Industries (published [month, year]). Data Source: 'Victorian Biodiversity Atlas', (c) The State of Victoria, Department of Environment, Land, Water & Planning (published [month, year]). 
        Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int) 4.0)","For more information: https://collections.ala.org.au/public/show/dr1097","","","","17521"
"dr22510","Observation.org, Nature data from around the World","10.15468/5nilie","Observation.org (2024). Observation.org, Nature data from around the World. Occurrence dataset https://doi.org/10.15468/5nilie accessed via GBIF.org on 2024-12-19.","CC BY-NC","For more information: https://collections.ala.org.au/public/show/dr22510","","","","15"
"co80","Australian Museum Mammalogy Collection","","Records provided by Australian Museum Mammalogy Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co80","","","","3"
"co118","Museums Victoria Mammalogy Collection","","Records provided by Museums Victoria Mammalogy Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co118","","","","3324"
"dp3301","NatureMapr","","Records provided by NatureMapr, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3301","","","","33"
"co137","Museum and Art Gallery of the Northern Territory Mammal Collection","","Records provided by Museum and Art Gallery of the Northern Territory Mammal Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co137","","","","2"
"dr21370","Entangled Wildlife Australia","","Entangled Wildlife Australia: Entangled Wildlife Australia (2025) Entangled Wildlife Australia dataset
","other","For more information: https://collections.ala.org.au/public/show/dr21370","","","","2"
"dr344","Queensland Museum provider for OZCAM","10.15468/lotsye","Queensland Museum, http://www.qm.qld.gov.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr344","","","","37"
"dr19072","Wildlife Road Tolls","","Upper Beaconsfield Wildlife Road Toll Survey: Upper Beaconsfield Wildlife Watch (2022) Upper Beaconsfield Wildlife Road Toll Survey dataset
Wildlife Crossings: Upper Beaconsfield Wildlife Watch (2022) Wildlife Crossings dataset
Pakenham Upper Wildlife Road Toll Survey: Upper Beaconsfield Wildlife Watch (2022) Pakenham Upper Wildlife Road Toll Survey dataset
","other","For more information: https://collections.ala.org.au/public/show/dr19072","","","","518"
"dr343","Northern Territory Museum and Art Gallery provider for OZCAM","10.15468/giro3a","Northern Territory Museum and Art Gallery, https://www.magnt.net.au/","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr343","","","","2"
"dr365","SA Fauna","10.15468/xsderl","© Crown in right of the State of South Australia, Department of Environment, Water and Natural Resources.","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr365","- Data is supplied to ALA as held on BDBSA.
- Copies of third party datasets held by DEW are not available through SAFlora and SAFauna in ALA. 
- Information about BDBSA datasets is available through the DEW website ( http://apps.environment.sa.gov.au/emap/envmaps-query.do?cmd=su.SurveySummaryMain )","- DEW provides advice as required on restrictions to sensitive records.
- DEW perform standard filtering of BDBSA data prior to release. These standard filters include records considered questionable due to location or taxonomic issues and sub fossil records","","6"
"dr346","South Australian Museum Adelaide provider for OZCAM","10.15468/wz4rrh","South Australian Museum, http://www.samuseum.sa.gov.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr346","","","","81"
"dr368","NSW BioNet Atlas","10.15468/14jd9g","BioNet Species Sightings occurrence data held by the NSW Office of Environment and Heritage (OEH).   The BioNet repository holds data from a number of sources and custodians. (Accessed through ALA Data Portal,<Date of Access>).","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr368","","","","6"
"dr1411","iNaturalist Australia","","iNaturalist.org: iNaturalist Research-grade Observations. doi:10.15468/ab3s5x
Accessed via http://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7 on 2017-03-16","","For more information: https://collections.ala.org.au/public/show/dr1411","","","","9732"
"dp3903","BioCollect","","Records provided by BioCollect, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3903","","","","520"
"dr340","Australian Museum provider for OZCAM","10.15468/e7susi","Records provided by Australian Museum provider for OZCAM, accessed through ALA website.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) Australian Museum,https://australian.museum/ Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0)","For more information: https://collections.ala.org.au/public/show/dr340","","","","3"
"in22","South Australian Museum","","Records provided by South Australian Museum, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in22","","","","81"
"dr342","Museums Victoria provider for OZCAM","10.15468/lp1ctu","Museums Victoria, http://museumvictoria.com.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr342","","","","3327"
"dr364","ALA species sightings and OzAtlas","10.15468/jayxmn","Individual sighting: Atlas of Living Australia (2025) Individual sighting dataset
Test sighting: Atlas of Living Australia (2025) Test sighting dataset
","CC-BY","For more information: https://collections.ala.org.au/public/show/dr364","","","","216"
"dr341","Australian National Wildlife Collection provider for OZCAM","10.15468/gscnac","Australian National Wildlife Collection, CSIRO, http://www.csiro.au/","CC-BY Data is available under the Creative Commons Attribution 3.0 Australia license.  Sound files associated with specimen records are not available for download and re-use. Please contact the Australian National Wildlife Collection for more information.","For more information: https://collections.ala.org.au/public/show/dr341","","","","86"
"co166","South Australian Museum Australian Biological Tissue Collection","","Records provided by South Australian Museum Australian Biological Tissue Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co166","","","","69"
"dp42","Global Biodiversity Information Facility","","Records provided by Global Biodiversity Information Facility, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp42","","","","15"
"dp20","OZCAM (Online Zoological Collections of Australian Museums) Provider","","Records provided by OZCAM (Online Zoological Collections of Australian Museums) Provider, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp20","","","","3536"
"dr360","Encyclopedia of Life Images - Flickr Group","","Citation is at the individual image","Creative Commons - license at record level (Creative Commons - license at record level)","For more information: https://collections.ala.org.au/public/show/dr360","","","","7"
"dp5214","Wildlife Observatory of Australia","","Records provided by Wildlife Observatory of Australia, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp5214","","","","128"
"in4","Australian Museum","","Records provided by Australian Museum, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in4","","","","3"
"co126","South Australian Museum Mammalogy Collection","","Records provided by South Australian Museum Mammalogy Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co126","","","","12"
"in6","Commonwealth Scientific and Industrial Research Organisation","","Records provided by Commonwealth Scientific and Industrial Research Organisation, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in6","","","","86"
"dr893","BowerBird","","Records provided by BowerBird, accessed through ALA website.","Creative Commons - license at record level (Creative Commons - license at record level) The rights of material uploaded by users to the BowerBird website are owned by those users. Each user will nominate the type of license that can apply to their content - BowerBird encourages the Creative Commons License but users have the right to deny use of their content. Please respect the license wishes of the user's content.

For all other material, including the content, design and source code of BowerBird other than user-contributed material, is under the Open Source and Creative Commons licenses. You may use this material.","For more information: https://collections.ala.org.au/public/show/dr893","","","","17"
"dr19123","NatureMapr","10.15468/uye32x","Records provided by NatureMapr, accessed through ALA website.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) Creative Commons Attribution 3.0 (Australia)","For more information: https://collections.ala.org.au/public/show/dr19123","","","","33"
"in15","Queensland Museum","","Records provided by Queensland Museum, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in15","","","","37"
"dr1902","Earth Guardians Weekly Feed","10.15468/slqqt8","Records provided by Earth Guardians Weekly Feed, accessed through ALA website.","Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr1902","","","","274"
"in17","Museum and Art Gallery of the Northern Territory","","Records provided by Museum and Art Gallery of the Northern Territory, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in17","","","","2"
"in16","Museums Victoria","","Records provided by Museums Victoria, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in16","","","","3327"
"dr33011","Monitoring many landscapes in VIC-NSW border to assess impacts of 2019-20 gigafires on wildlife diel activity","10.15468/z2w339","Records provided by Monitoring many landscapes in VIC-NSW border to assess impacts of 2019-20 gigafires on wildlife diel activity, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr33011","","","","128"
"dp29","Flickr","","Records provided by Flickr, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp29","","","","7"
"co16","Australian National Wildlife Collection","","Records provided by Australian National Wildlife Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co16","","","","86"
"dr635","NatureShare","10.15468/4cqg2v","Records provided by NatureShare, accessed through ALA website.","CC-BY Images are CC-BY 2.5, Data is CC-BY-NC 3.0.","For more information: https://collections.ala.org.au/public/show/dr635","","","","57"
